"","X","Y","OBJECTID_1","OBJECTID","BLDG_ID","BLDG_NAME","ADDRESS","CITY","ZIPCODE","CSP_SCH_ID","SCH_ID","SCH_NAME","SCH_LABEL","SCH_TYPE","SHARED","COMPLEX","POINT_X","POINT_Y","school_name_2","ORG_CODE","DISTRICT_NAME","SCHOOL","COUNTY","School_Total","PK","K","Gr.1","Gr.2","Gr.3","Gr.4","Gr.5","Gr.6","Gr.7","Gr.8","Gr.9","Gr.10","Gr.11","Gr.12","SPED_Beyond_Grade_12"
"1",-71.1179278543226,42.2652611923976,101,107,139,"E. Greenwood Bldg","612 Metropolitan Avenue","Hyde Park",2136,1230,1230,"Another Course to College","ACC","HS"," "," ",759585.471,2921916.774,"Another Course To College","0035","Boston","00350541","Suffolk",224,0,0,0,0,0,0,0,0,0,0,62,53,52,57,0
"2",-71.1405106172254,42.3420386680756,103,109,141,"Baldwin Bldg","121 Corey Road","Brighton",2135,4621,4621,"Baldwin ELPA","Baldwin ELPA","ELC"," "," ",753354.609161,2949869.27556,"Baldwin Early Learning Center","0035","Boston","00350003","Suffolk",159,82,42,35,0,0,0,0,0,0,0,0,0,0,0,0
"3",-71.1561306165837,42.2634386513491,93,99,129,"Beethoven Bldg","5125 Washington Street","West Roxbury",2132,4030,4030,"Beethoven Elementary","Beethoven (K1-2)","ES"," "," ",749247.248709,2921208.69169,"Beethoven","0035","Boston","00350021","Suffolk",307,44,82,87,94,0,0,0,0,0,0,0,0,0,0,0
"4",-71.0724610662797,42.3407375515449,21,21,28,"Blackstone Bldg","380 Shawmut Avenue","Boston",2118,4640,4640,"Blackstone Elementary","Blackstone","ES"," "," ",771753.999994,2949480.00001,"Blackstone","0035","Boston","00350390","Suffolk",551,79,74,80,82,77,74,85,0,0,0,0,0,0,0,0
"5",-71.06814953602,42.3487697098188,129,2938,0,"Church Street Bldg","20 Church Street","Boston",2116,1215,1215,"Boston Adult Tech Acad","BATA","Special"," "," ",772904.812815,2952412.93842,"Boston Adult Academy","0035","Boston","00350548","Suffolk",144,0,0,0,0,0,0,0,0,0,0,0,0,105,39,0
"6",-71.0621525628862,42.300698325178,84,90,118,"Cleveland Bldg","11 Charles Street","Dorchester",2122,1420,1420,"Boston Arts Academy","BAA","HS","Shared"," ",774619.898,2934906.539,"Boston Arts Academy","0035","Boston","00350546","Suffolk",469,0,0,0,0,0,0,0,0,0,0,114,116,122,117,0
"7",-71.1178860656969,42.2632278971189,125,132,89,"Hyde Park EC","655 Metropolitan Ave","Hyde Park",2136,1195,1195,"Community Leadership Academy","BCLA","HS","Shared"," ",759599.764602,2921175.94527,"Boston Community Leadership Academy","0035","Boston","00350558","Suffolk",487,0,0,0,0,0,0,0,0,0,0,132,115,114,111,15
"8",-71.0817105968886,42.3270286660483,32,35,44,"Wheatley Bldg","20 Kearsage Avenue","Roxbury",2119,1410,1410,"Boston Day and Evening Academy","BDEA","Special"," "," ",769277.865976,2944471.83911,"Boston Day and Evening Academy Charter School","0424","Boston Day and Evening Academy Charter (District)","04240505","Suffolk",421,0,0,0,0,0,0,0,0,0,0,94,70,3,254,0
"9",-71.1459610587206,42.3504407246818,130,2946,139,"Taft Bldg","20 Warren Street","Brighton",2135,1470,1470,"Boston Green Academy","Boston Green Academy","6/7-12"," "," ",751868.385102,2952924.99053,"Boston Green Academy Horace Mann Charter School","0411","Boston Green Academy Horace Mann Charter School (District)","04110305","Suffolk",476,0,0,0,0,0,0,0,52,52,61,86,86,77,52,10
"10",-71.0809105941458,42.281418657595,54,58,74,"Thompson Bldg","100 Maxwell Street","Dorchester",2124,1990,1990,"Boston International HS","Boston Intl HS","Special","Shared"," ",769575.860504,2927851.90514,"Boston International High School","0035","Boston","00350507","Suffolk",369,0,0,0,0,0,0,0,0,0,0,133,94,69,73,0
"11",-71.0809105941458,42.281418657595,55,59,74,"Thompson Bldg","100 Maxwell Street","Dorchester",2124,1991,1991,"Newcomers Academy","Newcomers Acad","Special","Shared"," ",769575.860504,2927851.90514,"Boston International High School","0035","Boston","00350507","Suffolk",369,0,0,0,0,0,0,0,0,0,0,133,94,69,73,0
"12",-71.101690603336,42.337898667878,81,87,115,"Boston Latin School Bldg","78 Avenue Louis Pasteur","Boston",2115,1010,1010,"Boston Latin School","Boston Latin Sch","6/7-12"," "," ",763856.549491,2948407.20221,"Boston Latin","0035","Boston","00350560","Suffolk",2440,0,0,0,0,0,0,0,0,410,407,407,431,402,383,0
"13",-71.0845005964343,42.3161586640344,41,44,55,"Boston Latin Academy Bldg","205 Townsend Street","Boston",2121,1020,1020,"Boston Latin Academy","Boston Latin Acad","6/7-12"," "," ",768542.714999,2940506.93881,"Boston Latin Academy","0035","Boston","00350545","Suffolk",1767,0,0,0,0,0,0,0,0,283,298,298,362,260,266,0
"14",-71.1159406061099,42.294638658621,67,72,93,"Parkman Bldg","25 Walk Hill Street","Jamaica Plain",2130,4661,4661,"BTU K-8 Pilot","BTU Pilot School K-8","K-8"," "," ",760074.83,2932624.84345,"Boston Teachers Union School","0035","Boston","00350012","Suffolk",270,23,22,22,21,23,26,36,51,18,28,0,0,0,0,0
"15",-71.1454906178092,42.3490886682943,102,108,140,"Brighton High School Bldg","25 Warren Street","Brighton",2135,1040,1040,"Brighton High","Brighton HS","HS"," "," ",751997.598536,2952432.80174,"Brighton High","0035","Boston","00350505","Suffolk",586,0,0,0,0,0,0,0,0,0,0,117,124,132,191,22
