"","X","Y","OBJECTID_1","OBJECTID","BLDG_ID","BLDG_NAME","ADDRESS","CITY","ZIPCODE","CSP_SCH_ID","SCH_ID","SCH_NAME","SCH_LABEL","SCH_TYPE","SHARED","COMPLEX","POINT_X","POINT_Y","school_name_2","ORG_CODE","DISTRICT_NAME","SCHOOL","COUNTY","School_Total","PK","K","Gr.1","Gr.2","Gr.3","Gr.4","Gr.5","Gr.6","Gr.7","Gr.8","Gr.9","Gr.10","Gr.11","Gr.12","SPED_Beyond_Grade_12","School Name.x","# Enrolled Grades 09 through 12","# Dropout All Grades","% Dropout All Grades","% Dropout Grade 09","% Dropout Grade 10","% Dropout Grade 11","% Dropout Grade 12","School Name.y","Tests Taken","Reading / Writing","Writing","Math","sch_int","School.Name.x","Subject.x","P.A..","P.A...1","A..","A...1","P..","P...1","NI..","NI...1","W.F..","W.F...1","Student.Included","CPI","Ave..SGP","Included.In.Ave..SGP","School.Name.y","Subject.y","M.E...x","M.E...1.x","E...x","E...1.x","M...x","M...1.x","PM...x","PM...1.x","NM...x","NM...1.x","No..of.Students.Included.x","Avg..Scaled.Score.x","SGP.x","Included.In.SGP.x","Ach..PCTL.x","School.Name","Subject","M.E...y","M.E...1.y","E...y","E...1.y","M...y","M...1.y","PM...y","PM...1.y","NM...y","NM...1.y","No..of.Students.Included.y","Avg..Scaled.Score.y","SGP.y","Included.In.SGP.y","Ach..PCTL.y"
"1",-71.1179278543226,42.2652611923976,101,107,139,"E. Greenwood Bldg","612 Metropolitan Avenue","Hyde Park",2136,1230,1230,"Another Course to College","ACC","HS"," "," ",759585.471,2921916.774,"Another Course To College","0035","Boston","00350541","Suffolk",224,0,0,0,0,0,0,0,0,0,0,62,53,52,57,0,"Boston - Another Course To College","     224","       6","   2.7","   0.0","   0.0","   6.3","   3.7","Boston - Another Course To College","      70","428","","431",350541,"Boston - Another Course To College","SCIENCE AND TECH/ENG",11,32,0,0,11,32,17,50,6,18,34,64,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-71.1405106172254,42.3420386680756,103,109,141,"Baldwin Bldg","121 Corey Road","Brighton",2135,4621,4621,"Baldwin ELPA","Baldwin ELPA","ELC"," "," ",753354.609161,2949869.27556,"Baldwin Early Learning Center","0035","Boston","00350003","Suffolk",159,82,42,35,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-71.1561306165837,42.2634386513491,93,99,129,"Beethoven Bldg","5125 Washington Street","West Roxbury",2132,4030,4030,"Beethoven Elementary","Beethoven (K1-2)","ES"," "," ",749247.248709,2921208.69169,"Beethoven","0035","Boston","00350021","Suffolk",307,44,82,87,94,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-71.0724610662797,42.3407375515449,21,21,28,"Blackstone Bldg","380 Shawmut Avenue","Boston",2118,4640,4640,"Blackstone Elementary","Blackstone","ES"," "," ",771753.999994,2949480.00001,"Blackstone","0035","Boston","00350390","Suffolk",551,79,74,80,82,77,74,85,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350390,"Boston - Blackstone","SCIENCE AND TECH/ENG",1,1,0,0,1,1,35,47,39,52,75,43.7,"N/A","N/A","Boston - Blackstone","MATH","          38",16,"           0",0,"          38",16,"         125",52,"          79",33,"         242",480.5,50.3,"         142",5,"Boston - Blackstone","ELA","          52",22,"           1",0,"          51",21,"         132",55,"          55",23,"         239",485.7,51,"         140",7
"5",-71.06814953602,42.3487697098188,129,2938,0,"Church Street Bldg","20 Church Street","Boston",2116,1215,1215,"Boston Adult Tech Acad","BATA","Special"," "," ",772904.812815,2952412.93842,"Boston Adult Academy","0035","Boston","00350548","Suffolk",144,0,0,0,0,0,0,0,0,0,0,0,0,105,39,0,"Boston - Boston Adult Academy","     154","      51","  33.1","","","  20.7","  78.8","Boston - Boston Adult Academy","      16","388","","433",350548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-71.0621525628862,42.300698325178,84,90,118,"Cleveland Bldg","11 Charles Street","Dorchester",2122,1420,1420,"Boston Arts Academy","BAA","HS","Shared"," ",774619.898,2934906.539,"Boston Arts Academy","0035","Boston","00350546","Suffolk",469,0,0,0,0,0,0,0,0,0,0,114,116,122,117,0,"Boston - Boston Arts Academy","     469","       7","   1.5","   0.8","   0.0","   2.4","   3.8","Boston - Boston Arts Academy","     161","491","","469",350546,"Boston - Boston Arts Academy","SCIENCE AND TECH/ENG",63,53,11,9,52,44,54,45,2,2,119,80.5,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-71.1178860656969,42.2632278971189,125,132,89,"Hyde Park EC","655 Metropolitan Ave","Hyde Park",2136,1195,1195,"Community Leadership Academy","BCLA","HS","Shared"," ",759599.764602,2921175.94527,"Boston Community Leadership Academy","0035","Boston","00350558","Suffolk",487,0,0,0,0,0,0,0,0,0,0,132,115,114,111,15,"Boston - Boston Community Leadership Academy","     474","      11","   2.3","   2.5","   0.8","   4.3","   1.9","Boston - Boston Community Leadership Academy","     116","463","","476",350558,"Boston - Boston Community Leadership Academy","SCIENCE AND TECH/ENG",40,43,3,3,37,39,45,48,9,10,94,76.9,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-71.0817105968886,42.3270286660483,32,35,44,"Wheatley Bldg","20 Kearsage Avenue","Roxbury",2119,1410,1410,"Boston Day and Evening Academy","BDEA","Special"," "," ",769277.865976,2944471.83911,"Boston Day and Evening Academy Charter School","0424","Boston Day and Evening Academy Charter (District)","04240505","Suffolk",421,0,0,0,0,0,0,0,0,0,0,94,70,3,254,0,"Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School","     404","      95","  23.5","  20.6","  29.8","","  23.0","Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School","      35","472","","461",4240505,"Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School","SCIENCE AND TECH/ENG",7,33,0,0,7,33,10,48,4,19,21,66.7,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-71.1459610587206,42.3504407246818,130,2946,139,"Taft Bldg","20 Warren Street","Brighton",2135,1470,1470,"Boston Green Academy","Boston Green Academy","6/7-12"," "," ",751868.385102,2952924.99053,"Boston Green Academy Horace Mann Charter School","0411","Boston Green Academy Horace Mann Charter School (District)","04110305","Suffolk",476,0,0,0,0,0,0,0,52,52,61,86,86,77,52,10,"Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School","     304","       9","   3.0","   3.4","   1.2","   6.9","   1.4","Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School","      72","431","","429",4110305,"Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School","SCIENCE AND TECH/ENG",24,20,1,1,23,19,54,45,42,35,120,56.5,"N/A","N/A","Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School","MATH","          15",9,"           0",0,"          15",9,"          95",59,"          51",32,"         161",477.6,45.5,"         147",3,"Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School","ELA","          41",25,"           4",2,"          37",23,"          67",42,"          53",33,"         161",483.5,48.8,"         145",5
"10",-71.0809105941458,42.281418657595,54,58,74,"Thompson Bldg","100 Maxwell Street","Dorchester",2124,1990,1990,"Boston International HS","Boston Intl HS","Special","Shared"," ",769575.860504,2927851.90514,"Boston International High School","0035","Boston","00350507","Suffolk",369,0,0,0,0,0,0,0,0,0,0,133,94,69,73,0,"Boston - Boston International High School","     366","      23","   6.3","   6.7","   8.9","   7.5","   1.4","Boston - Boston International High School","      56","403","","454",350507,"Boston - Boston International High School","SCIENCE AND TECH/ENG",18,46,0,0,18,46,17,44,4,10,39,75.6,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
